ProductID,IngredientID,QuantityNeeded
PRD-0001,ING-0002,"0,11"
PRD-0001,ING-0003,"0,06"
PRD-0001,ING-0007,"0,005"
PRD-0001,ING-0006,"0,002"
PRD-0001,ING-0004,"0,01"
PRD-0002,ING-0001,"0,05"
PRD-0002,ING-0011,"0,1"
PRD-0002,ING-0003,"0,04"
PRD-0002,ING-0004,"0,08"
PRD-0002,ING-0008,"0,03"
PRD-0002,ING-0012,"0,05"
PRD-0003,ING-0001,"0,35"
PRD-0003,ING-0009,"0,015"
PRD-0003,ING-0010,"0,2"
PRD-0003,ING-0012,"0,4"
PRD-0003,ING-0005,"0,15"
PRD-0003,ING-0020,"1,0"
PRD-0004,ING-0017,"0,02"
PRD-0004,ING-0011,"0,25"
PRD-0004,ING-0015,"0,045"
PRD-0004,ING-0016,"0,005"
PRD-0005,ING-0001,"0,15"
PRD-0005,ING-0014,"0,08"
PRD-0005,ING-0005,"0,05"
PRD-0005,ING-0004,"0,04"
PRD-0005,ING-0011,"0,05"
PRD-0006,ING-0002,"0,5"
PRD-0006,ING-0018,"0,15"
PRD-0006,ING-0006,"0,01"
